,x,y,x2,content
 the last five specimens were trawled up from a depth of  NUM  meters below the surface of the sea four were already dead but a living specimen was immediately immersed in cool seawater but it could not handle the sudden change in its habitat it perished just a day later
 
 while viper sharks look like the alien monster from the movie they do not feed on humans their main food sources are crustaceans and bony fishes one of their favorite lunch items is the lanternfish these creatures might be attracted toward the shark because of their glowinthedark bodies and when they swim close enough the shark lashes out with its extendable jaw and snatches the fish up and devours it whole
 
 the first specimens of viper shark were found off the coast of shikoku island in japan in  NUM  bottomtrawler vessel seiryomaru was the first to haul these creatures up to the surface of the sea
 
 because the fish was a new discovery at the time its scientific name honors the seiryomaru captain hiromichi kabeya the sharks scientific name was trigonognathus kabeyai
 
 although not much about these fish are known scientists classify them in as a dogfish shark they have only been found in the deep parts of the pacific ocean
 
 how would you react if this shark came up on the other end of your fishing line would you think you were having a nightmare"

